All Incident Codes,Age Category
100000110101110001,0
010010010100010010,2
010000,2
010000,2
010000,2
010000,2
110000,0
010000,2
010000010000010100,2
100000,0
010000,2
010000,2
010000,2
000000,2
010100,2
000000,2
010000,2
000000,2
010100,2
110100,0
000000,2
010100,2
000100,2
000000,2
000100,2
110100,0
010100010100000001010101,2
010100010000010000,2
110100,0
000000,2
000000,2
010100010000000100,2
000000000101,2
010100010001,2
000100000100000000,2
000000000100,2
000000,2
000100010000000000010100,2
000100000000000001,2
000000,2
000000,2
010100010010,2
010100,2
010000,2
010100,2
010000010000,2
010001,2
000100000000000101,2
010100,2
000100,2
100100101000110000,0
100000010101,1
010000000000000100,2
010000000000000000000000000000010001,2
010000,2
010100,2
010100,2
010000,2
000100,2
010100010100010000,2
000000,2
010100000100010000,2
001100,2
010000000000000000,2
010000,2
010000000010010000,2
000100,2
110100,0
010000,2
000100000100000100,2
010000010000010000000100010000010101,2
110100110000,0
000000,2
110110110000100001,0
000000,2
010100010100010000010000010000010000001000,2
010100,2
110001,0
000100000000,2
110101,0
100100110101,0
010000,2
000000010000010000,2
000100000001010001010001,2
000100010100,2
010000,2
000100,2
010100,2
010000000100,2
000100,2
000000,2
010000010000,2
010000010000,2
010100,2
010100,2
110000110000110100,0
010000,2
010000,2
010100000100011100,2
000100,2
010100010101,2
010100,2
000000,2
000000,2
010000,2
010100,2
000000,2
010000,2
010000,2
010100010100010100010100000100,2
010000010000010010,2
010000000100,2
010000,2
010010000000,2
010010,2
001100010000000001,2
010000,2
010100,2
010100,2
010000010000010000,2
010100,2
010000,2
010000010100010100010101,2
110000100100,0
110000,0
010100,2
010000010000010101010101010001010001,2
010000,2
010001,2
010100,2
110100110100110100000001,1
010000,2
110100,0
010100000000,2
010100,2
110101,0
010100,2
000100,2
010100,2
110100,0
010100,2
010100010000,2
000100,2
000100,2
010000010100010000010000010101010001,2
010010,2
011100010001,2
010000,2
010000010000,2
010010,2
000000,2
010000,2
010010,2
000000,2
110000110001,0
010010,2
010000,2
110100110000,0
110100,0
110100010000,1
110100,0
110100,0
110100,0
010100,2
000000010010010000010000010001,2
110100010001,1
110100,0
010100,2
110100110000,0
110100,0
010100,2
110100,0
110100100010,0
110100,0
110100,0
010100,2
010100,2
110100,0
010000,2
010000,2
010000,2
110000,0
010100,2
110000100000,0
010000,2
010100000000,2
110000110000110000,0
010100000100010100010100010100,2
010000,2
010100,2
000100,2
010000010000010000010101010101010001,2
