,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
11,"Failure to Register,Sex Offender,2nd or Sub,c6,s178H(a)(2)-SUBSEQUENT",1,0,"FAILURE TO REGISTER,SEX OFFENDER,2ND OR SUB,C6,S178H(A)(2)-SUBSEQUENT","6,",178H(a)(2)-SUBSEQUENT,Yes,11,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
12,"SEX OFFENDER INFO, AGENCY FAIL PROVIDE c6 §178K(3)",0,1,"SEX OFFENDER INFO, AGENCY FAIL PROVIDE",6,178K(3),Yes,12,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
13,"SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE c6 §178F or §178F½",1,3,"SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE",6,178F or §178F½,Yes,13,"not in the list of non-expungable offenses in 100J. However, one cannot fail to register without being a sex offender, and sex offenses are not expungable. 100Ja(6), 100Ja(10)",100J(6),
14,"A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT c. 7 s. 11",0,1,"A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT",7,11,Yes,14,not in the list of non-expungable offenses.,,
15,"DAY CARE, UNLICENSED c28A §11(a)",0,2,"DAY CARE, UNLICENSED",28A,11(a),Yes,15,not in the list of non-expungable offenses.,,
16,MUNICIPAL BY-LAW OR ORDINANCE VIOLATION c40 §21,38,951,MUNICIPAL BY-LAW OR ORDINANCE VIOLATION,40,21,Yes,16,not in the list of non-expungable offenses.,,
17,"IDENTIFY SELF, REFUSE c40 §21D(c)",2,18,"IDENTIFY SELF, REFUSE",40,21D(c),Yes,17,not in the list of non-expungable offenses.,,
18,SEWER BY-LAW VIOLATION c40 §21(6),0,2,SEWER BY-LAW VIOLATION,40,21(6),Yes,18,not in the list of non-expungable offenses.,,
19,EXCAVATION BY-LAW VIOLATION c40 §21(19),0,1,EXCAVATION BY-LAW VIOLATION,40,21(19),Yes,19,not in the list of non-expungable offenses.,,
20,"DEATH CERTIFICATE, FILE FALSE c46 §14",0,4,"DEATH CERTIFICATE, FILE FALSE",46,14,Yes,20,not in the list of non-expungable offenses.,,
21,"NOMINATION PAPER/PETITION, FALSE c56 §11",0,16,"NOMINATION PAPER/PETITION, FALSE",56,11,Yes,21,not in the list of non-expungable offenses.,,
22,"VOTE UNLAWFULLY, ATTEMPT TO c56 §26",0,1,"VOTE UNLAWFULLY, ATTEMPT TO",56,26,Yes,22,not in the list of non-expungable offenses.,,
23,"TAX, ATTEMPT TO EVADE c62C §73(a)",1,1,"TAX, ATTEMPT TO EVADE",62C,73(a),Yes,23,not in the list of non-expungable offenses.,,
24,"TAX, FAIL COLLECT OR PAY OVER c62C §73(b)",0,80,"TAX, FAIL COLLECT OR PAY OVER",62C,73(b),Yes,24,not in the list of non-expungable offenses.,,
25,"TAX RETURN, FAIL FILE c62C §73(c)",0,13,"TAX RETURN, FAIL FILE",62C,73(c),Yes,25,not in the list of non-expungable offenses.,,
26,"TAX, EVADE c62C §73(c)",0,1,"TAX, EVADE",62C,73(c),Yes,26,not in the list of non-expungable offenses.,,
27,"SALES TAX CERTIFICATE, FALSE c62C §73(i)",0,3,"SALES TAX CERTIFICATE, FALSE",62C,73(i),Yes,27,not in the list of non-expungable offenses.,,
28,"TAX RETURN, FALSE VERIFIED c62C §73(f)(1)",0,11,"TAX RETURN, FALSE VERIFIED",62C,73(f)(1),Yes,28,not in the list of non-expungable offenses.,,
29,"TAX RETURN, AID FALSE c62C §73(f)(2)",0,2,"TAX RETURN, AID FALSE",62C,73(f)(2),Yes,29,not in the list of non-expungable offenses.,,
30,"TAX DOCUMENT, FALSE SIGNATURE ON c62C §73(f)(3)",0,1,"TAX DOCUMENT, FALSE SIGNATURE ON",62C,73(f)(3),Yes,30,not in the list of non-expungable offenses.,,
31,DRUG DEALER FAIL PAY TAX c64K §9,0,1,DRUG DEALER FAIL PAY TAX,64K,9,Yes,31,not in the list of non-expungable offenses.,,
32,"CIGARETTES, SELL -12000 UNSTAMPED c64C §34",0,1,"CIGARETTES, SELL -12000 UNSTAMPED",64C,34,Yes,32,not in the list of non-expungable offenses.,,
33,"CIGARETTES, POSSESS -12000 UNSTAMPED c64C §35",1,1,"CIGARETTES, POSSESS -12000 UNSTAMPED",64C,35,Yes,33,not in the list of non-expungable offenses.,,
34,"CIGARETTES, SELL WITHOUT LICENSE c64C §10 & §2",0,2,"CIGARETTES, SELL WITHOUT LICENSE",64C,10 & §2,Yes,34,not in the list of non-expungable offenses.,,
35,"MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION c. 73 App. s. 1-2",0,1,"MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION",73,"""1-2""",Yes,35,not in the list of non-expungable offenses.,,
